date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:01:19	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Feb%202019%2017:01:16%20GMT	http://themescare.com/robots.txt		(from )
18:01:19	63137/63137	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jun%202018%2019:40:20%20GMT	http://themescare.com/demos/seipkon-admin-template/	C:/Users/wejdene/Documents/admin/baby/themescare.com/demos/seipkon-admin-template/index.html	(from )
18:01:20	1566/1566	---M--	200	added ('OK')	image/png	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://themescare.com/demos/seipkon-admin-template/assets/img/favicon/favicon-32x32.png	C:/Users/wejdene/Documents/admin/baby/themescare.com/demos/seipkon-admin-template/assets/img/favicon/favicon-32x32.png	(from http://themescare.com/demos/seipkon-admin-template/)
18:01:20	68606/68606	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://themescare.com/demos/seipkon-admin-template/assets/css/animate.min.css	C:/Users/wejdene/Documents/admin/baby/themescare.com/demos/seipkon-admin-template/assets/css/animate.min.css	(from http://themescare.com/demos/seipkon-admin-template/)
18:01:21	121204/121204	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://themescare.com/demos/seipkon-admin-template/assets/plugins/bootstrap/bootstrap.min.css	C:/Users/wejdene/Documents/admin/baby/themescare.com/demos/seipkon-admin-template/assets/plugins/bootstrap/bootstrap.min.css	(from http://themescare.com/demos/seipkon-admin-template/)
18:01:21	31024/31024	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://themescare.com/demos/seipkon-admin-template/assets/plugins/font-awesome/font-awesome.min.css	C:/Users/wejdene/Documents/admin/baby/themescare.com/demos/seipkon-admin-template/assets/plugins/font-awesome/font-awesome.min.css	(from http://themescare.com/demos/seipkon-admin-template/)
18:01:21	16435/16435	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://themescare.com/demos/seipkon-admin-template/assets/plugins/themify-icons/themify-icons.css	C:/Users/wejdene/Documents/admin/baby/themescare.com/demos/seipkon-admin-template/assets/plugins/themify-icons/themify-icons.css	(from http://themescare.com/demos/seipkon-admin-template/)
18:01:21	3952/3952	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://themescare.com/demos/seipkon-admin-template/assets/plugins/perfect-scrollbar/perfect-scrollbar.min.css	C:/Users/wejdene/Documents/admin/baby/themescare.com/demos/seipkon-admin-template/assets/plugins/perfect-scrollbar/perfect-scrollbar.min.css	(from http://themescare.com/demos/seipkon-admin-template/)
18:01:22	6769/6769	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://themescare.com/demos/seipkon-admin-template/assets/plugins/jvector/css/jquery-jvectormap.css	C:/Users/wejdene/Documents/admin/baby/themescare.com/demos/seipkon-admin-template/assets/plugins/jvector/css/jquery-jvectormap.css	(from http://themescare.com/demos/seipkon-admin-template/)
18:01:22	8163/8163	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Aug%202009%2000:00:00%20GMT	http://themescare.com/demos/seipkon-admin-template/assets/plugins/daterangepicker/css/daterangepicker.css	C:/Users/wejdene/Documents/admin/baby/themescare.com/demos/seipkon-admin-template/assets/plugins/daterangepicker/css/daterangepicker.css	(from http://themescare.com/demos/seipkon-admin-template/)
